EventName	LSTofGrennwichTaskStart	TaskStartTime	TaskEndTime	EventStartTime	EventEndTime	TargetStartPosX	TargetStartPosY	TargetStartPosZ	TargetEndPosX	TargetEndPosY	TargetEndPosZ	SystemPosEventStartX	SystemPosEventStartY	SystemPosEventStartZ	SystemPosEventEndX	SystemPosEventEndY	SystemPosEventEndZ	SystemPosTaskStartX	SystemPosTaskStartY	SystemPosTaskStartZ	SystemPosTaskEndX	SystemPosTaskEndY	SystemPosTaskEndZ	PowerDODEventStart	PowerDODEventEnd	SSDRbitsES	SSDRbitsEE	
t64	134.0582575176	2454680.0099537037	2454680.0100115743	2454680.0098958332	2454680.0100115743	-5338.5429143944	-2995.5224295660	1790.9317451834	-5337.4503718766	-2997.4686991890	1790.9317451834	3658.6089371249	5227.2445957825	1902.5704375950	3591.5256793440	5263.0054507501	1915.5863859092	3625.0673354870	5245.1250087385	1909.0784064643	3591.5257065965	5263.0054362222	1915.5863806214	0.0515000280	0.0521000284	0.0000830507	0.0000830507	
t64	134.1000382052	2454680.0100694443	2454680.0101273148	2454680.0100115743	2454680.0101273148	-5336.3571286082	-2999.4145546782	1790.9317451834	-5335.2631671407	-3001.3600270903	1790.9317451834	3591.5256793440	5263.0054507501	1915.5863859092	3524.4424215630	5298.7663057176	1928.6023342234	3557.9840777061	5280.8858637060	1922.0943547785	3524.4424488156	5298.7662911897	1928.6023289356	0.0521000284	0.0527000287	0.0000840053	0.0000840053	
t64	134.1418190610	2454680.0101851854	2454680.0102430554	2454680.0101273148	2454680.0102430554	-5334.1684964135	-3003.3051005073	1790.9317451834	-5333.0731253891	-3005.2497590243	1790.9317451834	3524.4424215630	5298.7663057176	1928.6023342234	3457.3591637821	5334.5271606851	1941.6182825375	3490.9008199251	5316.6467186735	1935.1103030927	3457.3591910347	5334.5271461573	1941.6182772498	0.0527000287	0.0533000290	0.0000849599	0.0000849599	
t64	134.1835997487	2454680.0103009259	2454680.0103587965	2454680.0102430554	2454680.0103587965	-5331.9770365850	-3007.1940336788	1790.9317451834	-5330.8802389581	-3009.1379085627	1790.9317451834	3457.3591637821	5334.5271606851	1941.6182825375	3390.2759060012	5370.2880156526	1954.6342308517	3423.8175621442	5352.4075736410	1948.1262514069	3390.2759332537	5370.2880011248	1954.6342255640	0.0533000290	0.0539000293	0.0000859145	0.0000859145	
t64	134.2253804364	2454680.0104166665	2454680.0104745370	2454680.0103587965	2454680.0104745370	-5329.7827414883	-3011.0813677808	1790.9317451834	-5328.6845266590	-3013.0244423516	1790.9317451834	3390.2759060012	5370.2880156526	1954.6342308517	3323.1926482202	5406.0488706201	1967.6501791659	3356.7343043633	5388.1684286085	1961.1421997211	3323.1926754728	5406.0488560923	1967.6501738782	0.0539000293	0.0545000297	0.0000868691	0.0000868691	
t64	134.2671612922	2454680.0105324076	2454680.0105902776	2454680.0104745370	2454680.0105902776	-5327.5856034447	-3014.9671163766	1790.9317451834	-5326.4859808425	-3016.9093739706	1790.9317451834	3323.1926482202	5406.0488706201	1967.6501791659	3256.1093904393	5441.8097255877	1980.6661274801	3289.6510465823	5423.9292835761	1974.1581480353	3256.1094176919	5441.8097110598	1980.6661221924	0.0545000297	0.0551000300	0.0000878237	0.0000878237	
t64	134.3089419799	2454680.0106481481	2454680.0107060187	2454680.0105902776	2454680.0107060187	-5325.3856413020	-3018.8512461328	1790.9317451834	-5324.2845938150	-3020.7927169747	1790.9317451834	3256.1093904393	5441.8097255877	1980.6661274801	3189.0261326584	5477.5705805552	1993.6820757943	3222.5677888014	5459.6901385436	1987.1740963495	3189.0261599109	5477.5705660273	1993.6820705066	0.0551000300	0.0557000303	0.0000887783	0.0000887783	
t64	134.3507226675	2454680.0107638887	2454680.0108217592	2454680.0107060187	2454680.0108217592	-5323.1828473961	-3022.7337706209	1790.9317451834	-5322.0803844609	-3024.6744380512	1790.9317451834	3189.0261326584	5477.5705805552	1993.6820757943	3121.9428748774	5513.3314355227	2006.6980241085	3155.4845310205	5495.4509935111	2000.1900446637	3121.9429021300	5513.3314209949	2006.6980188208	0.0557000303	0.0563000306	0.0000897329	0.0000897329	
t64	134.3925035233	2454680.0108796298	2454680.0109374998	2454680.0108217592	2454680.0109375003	-5320.9772140185	-3026.6147033871	1790.9317451834	-5319.8733451010	-3028.5545507630	1790.9317451834	3121.9428748774	5513.3314355227	2006.6980241085	3054.8596170965	5549.0922904902	2019.7139724227	3088.4012732395	5531.2118484786	2013.2059929778	3054.8596443491	5549.0922759624	2019.7139671349	0.0563000306	0.0569000310	0.0000906875	0.0000906875	
t64	134.4342842110	2454680.0109953703	2454680.0110532409	2454680.0109375003	2454680.0110532409	-5318.7687600901	-3030.4940111396	1790.9317451834	-5317.6634680123	-3032.4330686481	1790.9317451834	3054.8596170965	5549.0922904902	2019.7139724227	2987.7763593156	5584.8531454577	2032.7299207369	3021.3180154586	5566.9727034461	2026.2219412920	2987.7763865681	5584.8531309299	2032.7299154491	0.0569000310	0.0575000313	0.0000916421	0.0000916421	
